régionCNC,N° auto,nom,région administrative,adresse,code INSEE,commune,population de la commune,DEP,N°UU,unité urbaine,population unité urbaine,situation géographique,écrans,fauteuils,semaines d'activité,séances,entrées 2024,entrées 2023,évolution entrées,tranche d'entrées,propriétaire,AE,catégorie Art et Essai,label Art et Essai,genre,multiplexe,zone de la commune,nombre de films programmés,nombre de films inédits,nombre de films en semaine 1,PdM en entrées des films français,PdM en entrées des films américains,PdM en entrées des films européens,PdM en entrées des autres films,films Art et Essai,part des séances de films Art et Essai,PdM en entrées des films Art et Essai,latitude,longitude
6,216371,LE CAIRN,AUVERGNE / RHONE-ALPES,PLACE DE L EGLISE,38205,Lans-en-Vercors,2794,38,38109,Lans-en-Vercors,2794,06-autres communes et unités urbaines,1,184,49,479,13171,13533,-2.67494273257962%,De 10 à 20 000 entrées,,OUI,E,JP,FIXE,NON,R,241,188,1,66.1410318615559%,9.36438622028142%,16.2946789584344%,8.19990295972829%,189,78.125%,78.0122917677503%,45.128093,5.589034
6,216451,LA RAMASSE,AUVERGNE / RHONE-ALPES,9 RUE DES JARDINS,73290,Val-Cenis,2106,73,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,180,45,186,3799,2611,45.4998085024895%,De 2 à 5 000 entrées,,NON,NON,,FIXE,NON,R,113,97,6,49.406779661017%,30.8474576271186%,18.2203389830508%,1.52542372881356%,49,40.4624277456647%,33.728813559322%,45.285761,6.879713
6,216471,CHANTELOUVE,AUVERGNE / RHONE-ALPES,SALLE COMMUNALE,73290,Val-Cenis,2106,73,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,166,28,212,4575,4696,-2.57666098807496%,De 2 à 5 000 entrées,,NON,NON,,FIXE,NON,R,85,73,31,64.5901639344262%,20.6775956284153%,14.2295081967213%,0.502732240437159%,28,22.6415094339623%,15.6065573770492%,45.302343,6.947815
3,216843,CINE LAON,HAUTS DE FRANCE,17 AV CARNOT,02408,Laon,24738,02,02403,Laon,28251,05-Unités urbaines de 20 000 à 100 000 hbts,5,790,53,6945,103708,104625,-0.876463560334528%,De 100 à 150 000 entrées,,NON,NON,,FIXE,NON,C,274,163,113,40.8174082035276%,43.2299794862735%,14.7689015831886%,1.18371072701039%,103,8.99401372463133%,7.79914215325422%,49.569175,3.623996
3,216851,MAISON DES ARTS ET LOISIRS,HAUTS DE FRANCE,PLACE AUBRY,02408,Laon,24738,02,02403,Laon,28251,05-Unités urbaines de 20 000 à 100 000 hbts,1,117,5,11,585,779,-24.9037227214377%,Moins de 2000 entrées,,NON,NON,,FIXE,NON,C,1,1,0,0%,0%,0%,100%,1,100%,100%,49.564845,3.62504
7,217372,Cinéma Théâtre le Phénix,PROVENCE-ALPES-COTE D'AZUR,1 RUE DE LA PAIX,05070,Laragne-Montéglin,3631,05,05106,Laragne-Montéglin,3986,06-autres communes et unités urbaines,1,162,50,1015,18293,16589,10.2718668997529%,De 10 à 20 000 entrées,,OUI,E,JPPR,FIXE,NON,C,258,198,2,61.8500707213579%,21.4200848656294%,14.8231966053748%,1.90664780763791%,142,44.7046843177189%,38.0650636492221%,44.314841,5.822237
4,218381,LOUIS JOUVET,NOUVELLE AQUITAINE,1 AVENUE DE LA GARE,64320,Laruns,1205,64,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,155,53,310,3263,3022,7.97485109199206%,De 2 à 5 000 entrées,,OUI,E,,FIXE,NON,R,172,145,31,62.766285890707%,23.7727693732634%,8.86075949367089%,4.60018524235875%,91,37.9661016949153%,27.8481012658228%,42.988146,-0.425403
7,219191,MEGA CGR,OCCITANIE,ZAC DES COMMANDEURS,34129,Lattes,17909,34,34701,Montpellier,472000,04-Unités urbaines de 100 000 hbts ou plus,12,2458,53,23747,420995,384689,9.43775361395829%,De 300 à 450 000 entrées,CGR,NON,NON,,FIXE,OUI,B,318,215,203,39.6832826646097%,42.8705165344026%,15.603021495798%,1.8431793051897%,67,10.8440871588746%,5.47675965352623%,43.584563,3.935363
3,220074,CINEVILLE,PAYS DE LA LOIRE,25 QUAI GAMBETTA,53130,Laval,52169,53,53501,Laval,66284,05-Unités urbaines de 20 000 à 100 000 hbts,9,1836,53,14677,358037,352677,1.51980424014041%,De 300 à 450 000 entrées,CINEVILLE,OUI,D,JPPR,FIXE,OUI,C,444,232,202,50.7556385536014%,34.5065006201203%,12.6067472491919%,2.13111357708649%,204,22.9788109442502%,14.2877414850533%,48.072111,-0.771727
3,220083,L'AVANT-SCENE CINEMA,PAYS DE LA LOIRE,31 ALLEE DU VIEUX SAINT-LOUIS,53130,Laval,52169,53,53501,Laval,66284,05-Unités urbaines de 20 000 à 100 000 hbts,1,128,47,1457,20312,4524,348.983200707339%,De 20 à 30 000 entrées,,NON,NON,,FIXE,NON,C,293,160,73,72.6747456153807%,3.54860152375109%,11.826967326277%,11.9496855345912%,255,94.5165945165945%,92.626680983791%,48.072591,-0.773373
7,220334,THEATRE DE VERDURE,PROVENCE-ALPES-COTE D'AZUR,AVENUE DU GRAND JARDIN,83070,Le Lavandou,6048,83,83307,Bormes-les-Mimosas-Le Lavandou,14984,06-autres communes et unités urbaines,1,544,11,71,8765,7331,19.5607693356977%,De 5 à 10 000 entrées,,NON,NON,,FIXE,NON,B,24,24,8,55.0484883057616%,42.6012549914432%,2.35025670279521%,0%,3,8.45070422535211%,10.5533371363377%,43.135578,6.358877
7,220335,LE GRAND BLEU,PROVENCE-ALPES-COTE D'AZUR,LA BAOU,83070,Le Lavandou,6048,83,83307,Bormes-les-Mimosas-Le Lavandou,14984,06-autres communes et unités urbaines,3,406,53,4380,96263,89070,8.07567082070282%,De 80 à 100 000 entrées,,OUI,E,JP,FIXE,NON,B,298,202,77,59.4177071030876%,26.4889488780159%,13.0810275012654%,1.01231651763118%,169,22.3044886626562%,16.4395984477813%,43.137825,6.355187
4,220681,CASINO,OCCITANIE,RUE RENE CASSIN,09160,Lavelanet,6177,09,09202,Lavelanet,7130,06-autres communes et unités urbaines,2,480,53,2513,36802,34402,6.97633858496599%,De 30 à 40 000 entrées,,OUI,E,RDJPPR,FIXE,NON,C,439,292,28,46.1289670507378%,35.9120967974819%,13.4049496087095%,4.55398654307084%,274,37.489574645538%,25.9695630829652%,42.935388,1.849583
4,221712,LE SENECHAL,OCCITANIE,102 RUE NATIONALE,32208,Lectoure,4049,32,32103,Lectoure,4049,06-autres communes et unités urbaines,2,174,53,1140,18268,16839,8.48625215274066%,De 10 à 20 000 entrées,,OUI,E,RDJPPR,FIXE,NON,I,373,279,44,56.2841530054645%,22.4388840954846%,15.1855047454702%,6.09145815358067%,258,57.1557971014493%,47.103825136612%,43.934628,0.620319
