film,filmLabel,image,realisateurLabel,dureeLabel
http://www.wikidata.org/entity/Q18415,Spirits of the Dead,http://commons.wikimedia.org/wiki/Special:FilePath/Jane%20Fonda%20in%20Tre%20passi%20nel%20delirio.jpg,Roger Vadim,121
http://www.wikidata.org/entity/Q18416,Satyricon,http://commons.wikimedia.org/wiki/Special:FilePath/MartinPotter-Italie-1969.png,Federico Fellini,129
http://www.wikidata.org/entity/Q18421,The Clowns,http://commons.wikimedia.org/wiki/Special:FilePath/Clowns1.jpg,Federico Fellini,92
http://www.wikidata.org/entity/Q18423,Roma,http://commons.wikimedia.org/wiki/Special:FilePath/Federico%20Fellini%20-%20Roma.png,Federico Fellini,128
http://www.wikidata.org/entity/Q18429,Fellini's Casanova,http://commons.wikimedia.org/wiki/Special:FilePath/Museo%20Cinema%20Torino%20-%20Fellini%20Casanova%20script.jpg,Federico Fellini,148
http://www.wikidata.org/entity/Q18429,Fellini's Casanova,http://commons.wikimedia.org/wiki/Special:FilePath/Museo%20Cinema%20Torino%20-%20Fellini%20Casanova%20script.jpg,Federico Fellini,157
http://www.wikidata.org/entity/Q18433,City of Women,http://commons.wikimedia.org/wiki/Special:FilePath/Rossellini-Renzo-Toscan-Plantier-Federico-Fellini-ons-set-Citta%27-delle-Donne.jpg,Federico Fellini,139
http://www.wikidata.org/entity/Q18444,Lo vedi come sei... lo vedi come sei?,http://commons.wikimedia.org/wiki/Special:FilePath/Lo%20vedi%20come%20sei%20%28film%201939%29%20-%20Macario%20e%20Greta%20Gonda.jpg,Mario Mattoli,75
http://www.wikidata.org/entity/Q19069,The Magnificent Seven,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Magnificent%20Seven%20cast%20publicity%20photo.jpg,John Sturges,128
http://www.wikidata.org/entity/Q19352,The Monster,http://commons.wikimedia.org/wiki/Special:FilePath/Il%20mostro%20-%20logo.jpg,Roberto Benigni,112
http://www.wikidata.org/entity/Q19405,The Ninth Gate,http://commons.wikimedia.org/wiki/Special:FilePath/Ch%C3%A2teau%20de%20Ferri%C3%A8res%20%28Ferri%C3%A8res-en-Brie%29%20-%20Arri%C3%A8re.jpg,Roman Polanski,133
http://www.wikidata.org/entity/Q20456,Dances with Wolves,http://commons.wikimedia.org/wiki/Special:FilePath/Kevin%20Costner%20-Dances%20with%20Wolves.jpg,Kevin Costner,181
http://www.wikidata.org/entity/Q20456,Dances with Wolves,http://commons.wikimedia.org/wiki/Special:FilePath/Kevin%20Costner%20-Dances%20with%20Wolves.jpg,Kevin Costner,236
http://www.wikidata.org/entity/Q23892,Africa Screams,http://commons.wikimedia.org/wiki/Special:FilePath/Africa%20screams%20title%20screen.JPG,Charles Barton,79
http://www.wikidata.org/entity/Q59317,Arsenic and Old Lace,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Adair%20Josephine%20Hull%20Cary%20Grant%20Arsenic%20and%20Old%20Lace%201944.jpg,Frank Capra,118
http://www.wikidata.org/entity/Q59318,Johnny Guitar,http://commons.wikimedia.org/wiki/Special:FilePath/Johnny%20guitar.jpg,Nicholas Ray,110
http://www.wikidata.org/entity/Q59534,Planet of the Apes,http://commons.wikimedia.org/wiki/Special:FilePath/Heston%20and%20harrison%20planet%20of%20the%20apes.jpg,Franklin J. Schaffner,112
http://www.wikidata.org/entity/Q60072,The Sound of Music,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Sound%20of%20Music%20Christopher%20Plummer%20and%20Julie%20Andrews.jpg,Robert Wise,174
http://www.wikidata.org/entity/Q61696,Midnight Cowboy,http://commons.wikimedia.org/wiki/Special:FilePath/Midnight%20Cowboy%20trailer%20-%20poster.jpg,John Schlesinger,108
http://www.wikidata.org/entity/Q62163,She Done Him Wrong,http://commons.wikimedia.org/wiki/Special:FilePath/Rafaela%20Ottiano%20in%20She%20Done%20Him%20Wrong.jpg,Lowell Sherman,68
http://www.wikidata.org/entity/Q62665,The Sting,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Sting%20%281973%20alt%20poster%29.jpeg,George Roy Hill,129
http://www.wikidata.org/entity/Q62730,Das Boot,http://commons.wikimedia.org/wiki/Special:FilePath/Bavaria%20Filmstudio%20Das%20Boot%204.jpg,Wolfgang Petersen,149
http://www.wikidata.org/entity/Q62730,Das Boot,http://commons.wikimedia.org/wiki/Special:FilePath/Bavaria%20Filmstudio%20Das%20Boot%204.jpg,Wolfgang Petersen,209
http://www.wikidata.org/entity/Q62730,Das Boot,http://commons.wikimedia.org/wiki/Special:FilePath/Bavaria%20Filmstudio%20Das%20Boot%204.jpg,Wolfgang Petersen,293
http://www.wikidata.org/entity/Q62746,Soldier of Orange,http://commons.wikimedia.org/wiki/Special:FilePath/Rutger%20Hauer%20%28links%29%20en%20Jeroen%20Krabb%C3%A9%20op%20motor%20bij%20aankomst%2C%20Bestanddeelnr%20929-3579.jpg,Paul Verhoeven,155
http://www.wikidata.org/entity/Q64083,Sweet Rosie O'Grady,http://commons.wikimedia.org/wiki/Special:FilePath/Sweet%20Rosie%20O%27Grady%20%28NYPL%20Hades-1918019-1943618%29.jpg,Irving Cummings,74
http://www.wikidata.org/entity/Q72909,They Live,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Carpenter%27s%20They%20Live%20%28opening%20credits%20Logo%29.png,John Carpenter,94
http://www.wikidata.org/entity/Q73279,Evil Dead,http://commons.wikimedia.org/wiki/Special:FilePath/Evil%20Dead%20logo.png,Fede Álvarez,91
http://www.wikidata.org/entity/Q73457,The Year 1914,http://commons.wikimedia.org/wiki/Special:FilePath/Film%20Rok1914.jpg,Henryk Szaro,
