régionCNC;N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2022;entrées 2021;évolution entrées;tranche d'entrées;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude;geolocalisation
1;7711;GAUMONT MONTPARNOS;ILE-DE-FRANCE;16 18 RUE D ODESSA;75114;Paris 14e Arrondissement;134926;75;851;Paris;10949158;01-Paris;4;397;53;7890;144713;84252;71.7620946683758;De 100 à 150 000 entrées;PATHE-GAUMONT;NON;NON;;FIXE;NON;C;192;170;72;59.9391256225789;21.1676812396237;10.5409518539015;8.35224128389596;99;48.0534034311013;48.841914;2.324596;48.841914, 2.324596
1;9900;MK2 QUAI DE LOIRE;ILE-DE-FRANCE;5/19 QUAI DE LA LOIRE;75119;Paris 19e Arrondissement;184156;75;851;Paris;10949158;01-Paris;6;1108;53;11507;326491;239081;36.5608308481226;De 300 à 450 000 entrées;MK2;NON;NON;;FIXE;NON;C;206;143;85;43.6462479073276;37.5083553587745;14.2332386903703;4.61215804352759;124;44.4563344351164;48.885067;2.374123;48.885067, 2.374123
2;14693;! POC ! SCENE ARTISTIQUE ALFORTVILLE;ILE-DE-FRANCE;82 RUE MARCEL BOURDARIAS;94002;Alfortville;45317;94;851;Paris;10949158;02-Petite Couronne;1;410;38;87;8175;3332;145.348139255702;De 5 à 10 000 entrées;;NON;NON;;FIXE;NON;B;79;65;0;67.4756698305899;28.0187432416196;4.15715487204133;0.348432055749129;47;38.6879730866274;48.807586;2.422346;48.807586, 2.422346
2;73423;JEAN COCTEAU;ILE-DE-FRANCE;3 RUE ANATOLE FRANCE;91103;Brétigny-sur-Orge;27361;91;851;Paris;10949158;03-Grande couronne;2;368;53;2419;35447;19783;79.1790931607946;De 30 à 40 000 entrées;;OUI;C;JPPR;FIXE;NON;B;313;204;18;51.9492996157184;31.2445766703855;12.7773645717119;4.02875914218421;199;47.4029998760382;48.608596;2.303919;48.608596, 2.303919
2;81101;LA PLEIADE;ILE-DE-FRANCE;12 AVENUE COUSIN DE MERICOURT;94016;Cachan;30492;94;851;Paris;10949158;02-Petite Couronne;3;802;50;4013;50850;29589;71.8544053533408;De 50 à 80 000 entrées;;OUI;C;JP;FIXE;NON;B;299;223;106;60.975454795739;19.0156504796798;14.8118342192761;5.19706050530507;200;45.742180054639;48.795796;2.335316;48.795796, 2.335316
2;96533;JEAN GABIN;ILE-DE-FRANCE;RUE PIERRE DE COUBERTIN;77079;Champagne-sur-Seine;6504;77;77404;Champagne-sur-Seine;29069;03-Grande couronne;1;168;50;426;4454;2804;58.8445078459344;De 2 à 5 000 entrées;;OUI;D;;FIXE;NON;C;131;115;0;70.0896100750787;12.9571324775975;14.2649551949625;2.68830225236135;79;57.4231048680068;48.398755;2.80515;48.398755, 2.80515
2;117025;M J C THEATRE DE COLOMBES;ILE-DE-FRANCE;96, 98 RUE ST DENIS;92025;Colombes;87328;92;851;Paris;10949158;02-Petite Couronne;1;322;7;13;925;642;44.0809968847352;Moins de 2000 entrées;;NON;NON;;FIXE;NON;B;8;0;0;8.50642927794263;70.2274975272008;0;21.2660731948566;7;65.0840751730959;48.923862;2.250041;48.923862, 2.250041
2;148324;MEGA CGR;ILE-DE-FRANCE;5 AVENUE DU MARECHAL  JOFFRE;93031;Épinay-sur-Seine;54569;93;851;Paris;10949158;02-Petite Couronne;12;2470;53;23071;321828;187175;71.9396286897289;De 300 à 450 000 entrées;CGR;NON;NON;;FIXE;OUI;B;281;192;187;18.7270978166456;51.2037558802377;10.4796655074828;19.5894807956339;34;1.71542607011765;48.957859;2.301996;48.957859, 2.301996
2;252134;CINEMASSY;ILE-DE-FRANCE;PLACE DE FRANCE;91377;Massy;50844;91;851;Paris;10949158;03-Grande couronne;3;324;23;1723;9385;61;15285.2459016393;De 5 à 10 000 entrées;;OUI;C;RDJPPR;FIXE;NON;B;119;89;33;73.8053758088601;11.3240418118467;6.93130910900946;7.93927327028372;100;86.5107018417123;48.732679;2.288638;48.732679, 2.288638
2;374021;LE CRATERE;ILE-DE-FRANCE;RUE JEAN MOULIN;78537;Saint-Arnoult-en-Yvelines;5925;78;78202;Saint-Arnoult-en-Yvelines;5925;03-Grande couronne;1;401;53;1057;32164;14520;121.515151515152;De 30 à 40 000 entrées;;OUI;E;;FIXE;NON;I;147;133;3;46.9131903874696;37.711181987558;12.5556573088704;2.81997031610194;67;16.1335143840591;48.571134;1.933453;48.571134, 1.933453
2;444330;L'ANTARES;ILE-DE-FRANCE;1, PLACE DU COEUR BATTANT;95637;Vauréal;16207;95;851;Paris;10949158;03-Grande couronne;2;217;50;2430;34423;18518;85.8894049033373;De 30 à 40 000 entrées;;NON;NON;;FIXE;NON;B;236;165;30;29.4938808726408;46.6149175248052;15.4214529406241;8.46974866192995;80;20.30736486275;49.030119;2.021182;49.030119, 2.021182
2;450503;CINEMA JEAN MARAIS;ILE-DE-FRANCE;59 BD CARNOT;78650;Le Vésinet;16108;78;851;Paris;10949158;03-Grande couronne;1;199;48;716;23761;12513;89.8905138655798;De 20 à 30 000 entrées;;OUI;C;;FIXE;NON;B;157;117;5;73.4478028056822;11.4838252865425;11.0103111032438;4.05806080453158;102;68.5533477895296;48.893988;2.134326;48.893988, 2.134326
2;457861;ANDRE MALRAUX;ILE-DE-FRANCE;28 AVENUE DE VERDUN;92078;Villeneuve-la-Garenne;24670;92;851;Paris;10949158;02-Petite Couronne;1;212;36;222;7318;3632;101.486784140969;De 5 à 10 000 entrées;;NON;NON;;FIXE;NON;B;68;23;0;29.9968769519051;45.1436602123673;7.65146783260462;17.2079950031231;41;66.5209244222361;48.935662;2.333275;48.935662, 2.333275
3;36071;CASINO DU LAC;NORMANDIE;6 AVENUE ROBERT  COUSIN;61483;Bagnoles de l'Orne Normandie;2767;61;61105;Bagnoles-de-l'Orne;3156;06-autres communes et unités urbaines;1;346;53;1066;17563;10456;67.9705432287682;De 10 à 20 000 entrées;;OUI;E;;FIXE;NON;C;176;156;8;70.6151645207439;20.9327610872675;6.35765379113019;2.09442060085837;55;17.9799713876967;48.557714;-0.418487;48.557714, -0.418487
3;58841;L AMBIANCE;NORMANDIE;3 PLACE GASTON LEJUMEL;14079;Blonville-sur-Mer;1587;14;14402;Dives-sur-Mer;33981;05-Unités urbaines de 20 000 à 100 000 hbts;1;117;21;201;1629;1145;42.2707423580786;Moins de 2000 entrées;;NON;NON;;FIXE;NON;B;68;65;0;42.2958870472683;45.0583179864948;6.44567219152855;6.20012277470841;12;7.79619398403929;49.318522;0.044034;49.318522, 0.044034
3;104032;ETOILE;BRETAGNE;RUE DES TOURS CARREES;35068;Châteaubourg;7673;35;35214;Châteaubourg;9743;06-autres communes et unités urbaines;1;221;53;443;21311;13370;59.3941660433807;De 20 à 30 000 entrées;;OUI;E;;FIXE;NON;C;233;177;2;49.7622569737954;38.1973795435334;8.84404057480981;3.19632290786137;114;25.0422654268808;48.110334;-1.405013;48.110334, -1.405013
3;118495;CINEVILLE;BRETAGNE;RUE DE COLGUEN;29039;Concarneau;21099;29;29404;Concarneau;28381;05-Unités urbaines de 20 000 à 100 000 hbts;5;801;53;6715;136644;80118;70.5534336853142;De 100 à 150 000 entrées;CINEVILLE;OUI;D;JP;FIXE;NON;C;298;191;112;46.658420508798;39.650191949437;10.3675322618356;3.3238552799294;160;15.5505441709972;47.899073;-3.909554;47.899073, -3.909554
3;138352;CINEMAS GRAND FORUM;NORMANDIE;ESPLANADE ROSA LEROY;76217;Dieppe;28535;76;76404;Dieppe;35913;05-Unités urbaines de 20 000 à 100 000 hbts;8;1319;53;9330;151366;111068;36.2822775236792;De 150 à 200 000 entrées;;NON;NON;;FIXE;OUI;C;214;174;165;43.5190456645792;42.3949741159025;11.5379523097089;2.54802790980948;56;7.09330191052443;49.921565;1.079726;49.921565, 1.079726
3;200262;LE CUBE;CENTRE-VAL DE LOIRE;14 ROUTE DE CHINON;37119;L' Île-Bouchard;1556;37;0;Zone rurale;14908533;04-Unités urbaines de 100 000 hbts ou plus;1;179;48;146;2709;2017;34.3083787803669;De 2 à 5 000 entrées;;NON;NON;;FIXE;NON;R;99;78;0;74.6321890325457;9.58537672759697;11.9037004012483;3.87873383860901;54;39.5006687472136;47.125566;0.414813;47.125566, 0.414813
