film,filmLabel,image,realisateurLabel,dureeLabel
http://www.wikidata.org/entity/Q207816,Bruce tout-puissant,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Diego%20%28California%2C%20USA%29%2C%20Embarcadero%20--%202012%20--%205504.jpg,Tom Shadyac,101
http://www.wikidata.org/entity/Q208266,Out of Africa,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20-%20Bonhams%202013%20-%20De%20Havilland%20DH.60%20Gipsy%20Moth%20-%201929%20-%20001.jpg,Sydney Pollack,157
http://www.wikidata.org/entity/Q208266,Out of Africa,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20-%20Bonhams%202013%20-%20De%20Havilland%20DH.60%20Gipsy%20Moth%20-%201929%20-%20001.jpg,Sydney Pollack,160
http://www.wikidata.org/entity/Q208344,Q208344,http://commons.wikimedia.org/wiki/Special:FilePath/ArmageddonPremiere98.jpg,Michael Bay,151
http://www.wikidata.org/entity/Q208632,New York-Miami,http://commons.wikimedia.org/wiki/Special:FilePath/Clark%20Gable%20and%20Claudette%20Colbert%20in%20It%20Happened%20One%20Night.jpg,Frank Capra,105
http://www.wikidata.org/entity/Q209170,Mary Poppins,http://commons.wikimedia.org/wiki/Special:FilePath/Mary%20Poppins5.jpg,Robert Stevenson,140
http://www.wikidata.org/entity/Q209737,Les Mille et Une Nuits,http://commons.wikimedia.org/wiki/Special:FilePath/Il%20fiore%20delle%20mille%20e%20una%20notte%20movie%20horizontal%20purple%20logo.png,Pier Paolo Pasolini,129
http://www.wikidata.org/entity/Q209854,Le Gorille,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Gorilla%20%281939%29%201.jpg,Allan Dwan,66
http://www.wikidata.org/entity/Q210364,Shutter Island,http://commons.wikimedia.org/wiki/Special:FilePath/Shutter%20Island.png,Martin Scorsese,139
http://www.wikidata.org/entity/Q210509,Salon Kitty,http://commons.wikimedia.org/wiki/Special:FilePath/Salon%20Kitty%20%28Ingrid%20Thulin%29%20%28cropped%29.jpg,Tinto Brass,110
http://www.wikidata.org/entity/Q210590,Un si doux visage,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Simmons%20in%20Angel%20Face%20trailer.jpg,Otto Preminger,91
http://www.wikidata.org/entity/Q210756,The Thing,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Thing%201982%20publicity%20still.jpg,John Carpenter,109
http://www.wikidata.org/entity/Q210812,Expendables 2 : Unité spéciale,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Expendables%202%20Cast%20Roster.jpg,Simon West,103
http://www.wikidata.org/entity/Q210873,Péché mortel,http://commons.wikimedia.org/wiki/Special:FilePath/GeneTierneyLeaveHerToHeavenTrailerScreenshot1945.jpg,John M. Stahl,110
http://www.wikidata.org/entity/Q211341,La Terreur du pensionnat,http://commons.wikimedia.org/wiki/Special:FilePath/Birichinopapa%20falconi%2Bgelli%2Bcampa.jpg,Raffaello Matarazzo,80
http://www.wikidata.org/entity/Q211372,Sur les quais,http://commons.wikimedia.org/wiki/Special:FilePath/On%20the%20Waterfront%20%281954%20poster%29.jpg,Elia Kazan,108
http://www.wikidata.org/entity/Q211373,Miss Daisy et son chauffeur,http://commons.wikimedia.org/wiki/Special:FilePath/Jessica%20Tandy%20%26%20Hume%20Cronyn.jpg,Bruce Beresford,99
http://www.wikidata.org/entity/Q212123,Vicky Cristina Barcelona,http://commons.wikimedia.org/wiki/Special:FilePath/Scarlett%20Johansson.jpg,Woody Allen,96
http://www.wikidata.org/entity/Q212129,Un tramway nommé Désir,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Streetcar%20Named%20Desire%20%281951%29.jpg,Elia Kazan,120
http://www.wikidata.org/entity/Q212582,La Vallée de Gwangi,http://commons.wikimedia.org/wiki/Special:FilePath/Valley%20of%20Gwangi%20French%20poster.jpg,Jim O'Connolly,95
http://www.wikidata.org/entity/Q212775,Le Dernier Empereur,http://commons.wikimedia.org/wiki/Special:FilePath/Tobu%20World%20Square%20Forbidden%20City%20Last%20Emperor%201.jpg,Bernardo Bertolucci,165
http://www.wikidata.org/entity/Q212965,Hunger Games,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Hunger%20Games%20%28Liongate%20films%29%20logo.svg,Gary Ross,142
http://www.wikidata.org/entity/Q213053,Superman,http://commons.wikimedia.org/wiki/Special:FilePath/Superman%20S%20symbol.svg,Richard Donner,143
http://www.wikidata.org/entity/Q213411,Seul au monde,http://commons.wikimedia.org/wiki/Special:FilePath/Cast%20Away%20-%20Logo.png,Robert Zemeckis,143
http://www.wikidata.org/entity/Q214014,21 Jump Street,http://commons.wikimedia.org/wiki/Special:FilePath/21%20Jump%20Street.svg,Phil Lord,109
http://www.wikidata.org/entity/Q214014,21 Jump Street,http://commons.wikimedia.org/wiki/Special:FilePath/21%20Jump%20Street.svg,Chris Miller,109
http://www.wikidata.org/entity/Q214723,La Ruée vers l'or,http://commons.wikimedia.org/wiki/Special:FilePath/Chaplin%20the%20gold%20rush%20boot.jpg,Charlie Chaplin,96
http://www.wikidata.org/entity/Q216720,Rock,http://commons.wikimedia.org/wiki/Special:FilePath/Alcatraz%20aerial.jpg,Michael Bay,127
http://www.wikidata.org/entity/Q217010,"Twilight, chapitre III : Hésitation",http://commons.wikimedia.org/wiki/Special:FilePath/Solar%20eclipse%201999%204.jpg,David Slade,124
http://www.wikidata.org/entity/Q217182,Edward aux mains d'argent,http://commons.wikimedia.org/wiki/Special:FilePath/Edward%20Scissorhands%20%288229090895%29.jpg,Tim Burton,105
http://www.wikidata.org/entity/Q217182,Edward aux mains d'argent,http://commons.wikimedia.org/wiki/Special:FilePath/New%20York%20Comic%20Con%202015%20-%20Edward%20Scissorhands%20%2821442118814%29.jpg,Tim Burton,105
http://www.wikidata.org/entity/Q217189,Le Septième Sceau,http://commons.wikimedia.org/wiki/Special:FilePath/Sjunde%20inseglet%201957.jpg,Ingmar Bergman,96
http://www.wikidata.org/entity/Q217286,Q217286,http://commons.wikimedia.org/wiki/Special:FilePath/Norman%20Bates.jpg,Douglas Gordon,
http://www.wikidata.org/entity/Q217552,X-Men Origins: Wolverine,http://commons.wikimedia.org/wiki/Special:FilePath/Wolverine%20%287343567212%29%20%28retouched%29.jpg,Gavin Hood,107
http://www.wikidata.org/entity/Q217627,Le Lauréat,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Verne%20United%20Methodist%20Church%20%28featured%20in%20last%20scene%20of%20The%20Graduate%29.jpg,Mike Nichols,102
http://www.wikidata.org/entity/Q218172,Zodiac,http://commons.wikimedia.org/wiki/Special:FilePath/Zodiaclogo.png,David Fincher,158
http://www.wikidata.org/entity/Q218235,Charlie et la Chocolaterie,http://commons.wikimedia.org/wiki/Special:FilePath/Dragon%20Con%202016%20Charlie%20and%20the%20Chocolate%20Factory%20cosplayers.jpg,Tim Burton,115
http://www.wikidata.org/entity/Q219185,Zombi 3,http://commons.wikimedia.org/wiki/Special:FilePath/Zombie%20III%20Logo.png,Lucio Fulci,88
http://www.wikidata.org/entity/Q219185,Zombi 3,http://commons.wikimedia.org/wiki/Special:FilePath/Zombie%20III%20Logo.png,Bruno Mattei,88
http://www.wikidata.org/entity/Q219185,Zombi 3,http://commons.wikimedia.org/wiki/Special:FilePath/Zombie%20III%20Logo.png,Claudio Fragasso,88
http://www.wikidata.org/entity/Q219315,Very Bad Trip,http://commons.wikimedia.org/wiki/Special:FilePath/The%20hangover.svg,Todd Phillips,100
http://www.wikidata.org/entity/Q219796,Zombie Strippers,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Zombie%20Strippers%202008.png,Jay Lee,86
http://www.wikidata.org/entity/Q219805,La Terreur des zombies,http://commons.wikimedia.org/wiki/Special:FilePath/Ciccio%20Ingrassia%20Rossella%20Como.png,Marino Girolami,84
http://www.wikidata.org/entity/Q219810,Bienvenue à Zombieland,http://commons.wikimedia.org/wiki/Special:FilePath/Zombieland%20panel.jpg,Ruben Fleischer,88
http://www.wikidata.org/entity/Q220394,Naissance d'une nation,http://commons.wikimedia.org/wiki/Special:FilePath/Birth-of-a-nation-klan-and-black-man.jpg,D. W. Griffith,187
http://www.wikidata.org/entity/Q220735,French Connection,http://commons.wikimedia.org/wiki/Special:FilePath/French%20connection%20intertitle.png,William Friedkin,104
http://www.wikidata.org/entity/Q220735,French Connection,http://commons.wikimedia.org/wiki/Special:FilePath/French%20connection%20intertitle.png,William Friedkin,106
http://www.wikidata.org/entity/Q220780,Raging Bull,http://commons.wikimedia.org/wiki/Special:FilePath/Wie%20ein%20wilder%20Stier%20Logo.png,Martin Scorsese,129
